"especie_ave","zona_ecologica","tamano_promedio_cm","color_dominante","actividad_predominante","numero_vocalizaciones","franja_horaria_activa","tipo_alimentacion","duracion_canto_seg","numero_avistamientos" 
"reinita amarilla","urbana",12.7,"verde","reposo",5,"tarde","insectos",2.6,15
"mosquero tropical","agrícola",11.4,"negro","canto",22,"mediodía","insectos",14.1,9
"colibrí esmeralda","urbana",12.1,"amarillo","reposo",4,"tarde","néctar",2.2,9
"reinita amarilla","urbana",11.1,"blanco","vuelo",3,"tarde","semillas",4.1,14
"reinita amarilla","manglar",12.1,"negro","canto",10,"tarde","insectos",12,6
"pinzón costero","agrícola",12.2,"amarillo","vuelo",8,"mañana","néctar",12.4,3
"colibrí esmeralda","agrícola",12.8,"marrón","alimentación",6,"mañana","semillas",1,9
"reinita amarilla","manglar",8.9,"blanco","canto",15,"mediodía","semillas",9.9,12
"tordo renegrido","agrícola",12.8,"negro","canto",11,"mañana","néctar",12.5,6
"pinzón costero","manglar",11.5,"marrón","alimentación",8,"mañana","frutas",5.2,6
"colibrí esmeralda","agrícola",14.2,"gris","vuelo",6,"mediodía","frutas",7,4
"tordo renegrido","manglar",11.8,"gris","reposo",4,"mediodía","néctar",8.3,6
"pinzón costero","bosque seco",13.1,"negro","vuelo",2,"mediodía","frutas",1,7
"reinita amarilla","manglar",11.5,"amarillo","alimentación",11,"tarde","frutas",1,7
"tordo renegrido","agrícola",12.9,"gris","alimentación",5,"tarde","frutas",3.9,7
"tordo renegrido","manglar",11,"negro","alimentación",6,"mañana","semillas",1,9
"colibrí esmeralda","urbana",11.8,"amarillo","canto",16,"mañana","semillas",12.3,5
"pinzón costero","agrícola",8,"verde","reposo",6,"mañana","semillas",6.3,8
"reinita amarilla","manglar",10.7,"gris","reposo",11,"mediodía","néctar",2,8
"reinita amarilla","manglar",8.9,"marrón","alimentación",2,"mediodía","insectos",1,9
"colibrí esmeralda","agrícola",13.9,"blanco","vuelo",3,"mediodía","semillas",2.2,4
"tordo renegrido","bosque seco",11.6,"gris","alimentación",4,"mañana","frutas",4.1,10
"reinita amarilla","bosque seco",11.7,"verde","alimentación",9,"mañana","néctar",8.1,3
"mosquero tropical","bosque seco",11.7,"blanco","reposo",6,"mañana","néctar",5.6,7
"reinita amarilla","manglar",11.2,"blanco","vuelo",2,"mediodía","néctar",6.9,6
"tordo renegrido","urbana",14.1,"negro","reposo",5,"mañana","néctar",8.9,16
"colibrí esmeralda","manglar",11.3,"blanco","alimentación",5,"mediodía","semillas",6.2,5
"reinita amarilla","urbana",10.9,"amarillo","vuelo",1,"tarde","frutas",1.7,9
"pinzón costero","manglar",13.8,"negro","alimentación",2,"tarde","frutas",4.4,7
"reinita amarilla","urbana",13.1,"marrón","vuelo",4,"mediodía","frutas",1.9,12
"reinita amarilla","manglar",12.1,"marrón","reposo",5,"mediodía","semillas",2.3,3
"pinzón costero","urbana",11.6,"blanco","vuelo",7,"mediodía","néctar",1.5,9
"pinzón costero","bosque seco",11.6,"marrón","alimentación",4,"tarde","insectos",2.1,8
"colibrí esmeralda","urbana",10.8,"verde","reposo",3,"mañana","néctar",4.5,13
"reinita amarilla","urbana",13,"verde","vuelo",2,"tarde","insectos",8,5
"mosquero tropical","agrícola",14.5,"blanco","canto",23,"mediodía","frutas",14.1,5
"mosquero tropical","urbana",14.5,"blanco","reposo",2,"tarde","néctar",1,9
"tordo renegrido","bosque seco",10.3,"negro","canto",42,"mediodía","semillas",33.3,8
"colibrí esmeralda","manglar",12,"marrón","reposo",6,"tarde","insectos",1,4
"colibrí esmeralda","agrícola",12.6,"gris","vuelo",4,"tarde","semillas",4.5,12
"colibrí esmeralda","manglar",8.9,"marrón","reposo",5,"mediodía","insectos",1.6,5
"pinzón costero","agrícola",15,"gris","vuelo",3,"mañana","néctar",5.7,6
"colibrí esmeralda","agrícola",13.7,"verde","canto",17,"mediodía","néctar",13,4
"mosquero tropical","urbana",14.9,"negro","alimentación",5,"tarde","semillas",7.5,12
"reinita amarilla","bosque seco",10,"blanco","vuelo",2,"tarde","semillas",3.3,8
"pinzón costero","bosque seco",10.4,"amarillo","canto",14,"mediodía","néctar",9.2,6
"reinita amarilla","urbana",13.5,"amarillo","alimentación",5,"mañana","insectos",4.4,8
"reinita amarilla","bosque seco",9.5,"verde","reposo",6,"mediodía","semillas",10,2
"colibrí esmeralda","bosque seco",10.5,"gris","vuelo",3,"mañana","insectos",5.2,6
"reinita amarilla","bosque seco",7.9,"negro","reposo",4,"mediodía","frutas",3.6,10
"tordo renegrido","bosque seco",12.6,"verde","reposo",7,"mediodía","insectos",3.4,3
"mosquero tropical","urbana",13.8,"amarillo","alimentación",6,"tarde","semillas",8.4,9
"reinita amarilla","agrícola",11.3,"marrón","vuelo",5,"tarde","semillas",1.8,5
"mosquero tropical","manglar",12.4,"marrón","reposo",4,"tarde","frutas",4.5,8
"reinita amarilla","agrícola",12,"blanco","alimentación",11,"tarde","frutas",4,5
"pinzón costero","urbana",13.3,"amarillo","alimentación",6,"mediodía","insectos",5.2,6
"mosquero tropical","bosque seco",14,"marrón","alimentación",10,"tarde","semillas",6.4,4
"reinita amarilla","agrícola",10.8,"marrón","canto",12,"mediodía","semillas",10.5,9
"reinita amarilla","agrícola",12.1,"marrón","reposo",4,"tarde","néctar",8.9,5
"colibrí esmeralda","manglar",12.7,"negro","alimentación",5,"tarde","néctar",1.5,6
"colibrí esmeralda","agrícola",14.1,"verde","alimentación",7,"mediodía","frutas",6.2,8
"colibrí esmeralda","manglar",13.2,"marrón","reposo",8,"mediodía","semillas",4.3,7
"mosquero tropical","urbana",11.7,"marrón","vuelo",3,"mediodía","insectos",7.8,9
"tordo renegrido","urbana",11.5,"verde","canto",18,"tarde","frutas",13.8,5
"colibrí esmeralda","urbana",11.1,"gris","alimentación",5,"tarde","frutas",1,10
"tordo renegrido","urbana",9.7,"marrón","reposo",10,"mediodía","insectos",3.9,13
"reinita amarilla","manglar",11.4,"amarillo","canto",10,"mediodía","semillas",13.6,6
"pinzón costero","urbana",13.9,"gris","canto",18,"mañana","insectos",15.5,6
"mosquero tropical","agrícola",12,"gris","reposo",1,"mañana","néctar",1,4
"colibrí esmeralda","manglar",11.2,"amarillo","vuelo",4,"tarde","semillas",8.1,4
"tordo renegrido","bosque seco",14.6,"negro","reposo",4,"tarde","semillas",8,6
"reinita amarilla","bosque seco",12,"blanco","reposo",7,"mediodía","semillas",2.3,12
"tordo renegrido","manglar",14.7,"negro","vuelo",4,"mediodía","frutas",1.4,6
"pinzón costero","bosque seco",13.2,"negro","alimentación",6,"mañana","néctar",6,8
"tordo renegrido","urbana",12.5,"amarillo","canto",14,"tarde","frutas",14,12
"pinzón costero","agrícola",8.7,"amarillo","reposo",24,"mañana","néctar",25,5
"tordo renegrido","manglar",12.8,"blanco","vuelo",4,"tarde","néctar",1.7,10
"pinzón costero","manglar",11.7,"negro","reposo",6,"mañana","insectos",4.7,5
"mosquero tropical","bosque seco",12.5,"amarillo","reposo",7,"tarde","semillas",2.2,5
"tordo renegrido","urbana",10.8,"marrón","alimentación",5,"tarde","insectos",2.9,8
"colibrí esmeralda","manglar",13,"verde","alimentación",4,"mediodía","frutas",1,3
"colibrí esmeralda","bosque seco",14.4,"amarillo","canto",15,"tarde","semillas",6.7,7
"mosquero tropical","urbana",12.7,"marrón","canto",18,"mañana","frutas",13.6,6
"mosquero tropical","urbana",9.1,"verde","vuelo",9,"tarde","insectos",7.9,8
"tordo renegrido","agrícola",11.2,"amarillo","canto",20,"mediodía","néctar",9.9,8
"colibrí esmeralda","agrícola",9.3,"blanco","reposo",5,"mediodía","frutas",5,5
"tordo renegrido","agrícola",10.4,"verde","canto",19,"mediodía","néctar",8.7,9
"tordo renegrido","urbana",14.2,"negro","alimentación",3,"mañana","néctar",3.9,8
"tordo renegrido","bosque seco",14.6,"blanco","reposo",3,"mediodía","frutas",3.1,9
"tordo renegrido","manglar",10.3,"gris","canto",12,"tarde","frutas",10,5
"reinita amarilla","manglar",8.5,"blanco","alimentación",9,"tarde","néctar",1.2,3
"tordo renegrido","manglar",10.7,"marrón","canto",12,"mediodía","insectos",12.8,5
"tordo renegrido","bosque seco",11.3,"verde","canto",21,"mediodía","semillas",14,4
"reinita amarilla","bosque seco",12.5,"negro","vuelo",6,"mediodía","insectos",1,2
"mosquero tropical","manglar",9.4,"negro","alimentación",0,"mañana","néctar",1,5
"pinzón costero","manglar",11.4,"negro","canto",15,"mediodía","frutas",14.4,4
"pinzón costero","urbana",16.7,"amarillo","vuelo",7,"mediodía","frutas",6,10
"colibrí esmeralda","bosque seco",18.4,"gris","reposo",3,"mañana","semillas",3.3,5
"colibrí esmeralda","manglar",13.4,"gris","reposo",7,"mediodía","frutas",3.6,7
"reinita amarilla","manglar",11.3,"amarillo","canto",18,"tarde","néctar",18.8,9
"mosquero tropical","manglar",11.7,"verde","reposo",8,"tarde","insectos",5.1,7
"reinita amarilla","bosque seco",10.9,"amarillo","canto",13,"mediodía","frutas",7.7,7
"mosquero tropical","urbana",15.4,"verde","vuelo",4,"tarde","frutas",5.5,9
"tordo renegrido","urbana",11.1,"amarillo","canto",20,"tarde","insectos",11.1,8
"mosquero tropical","manglar",10.9,"verde","reposo",4,"mediodía","frutas",2.3,6
"tordo renegrido","agrícola",12.6,"blanco","reposo",1,"mediodía","frutas",5.2,6
"tordo renegrido","urbana",8.7,"blanco","reposo",1,"mañana","insectos",4.8,11
"colibrí esmeralda","manglar",12.7,"amarillo","canto",7,"mañana","insectos",13.4,3
"pinzón costero","bosque seco",10.3,"negro","reposo",4,"mediodía","néctar",1,4
"reinita amarilla","manglar",8.2,"marrón","canto",16,"mediodía","semillas",17.8,5
"tordo renegrido","urbana",11.3,"blanco","vuelo",28,"mañana","frutas",10.1,7
"tordo renegrido","bosque seco",12.6,"blanco","alimentación",5,"tarde","insectos",6,5
"mosquero tropical","urbana",10.5,"negro","alimentación",2,"tarde","néctar",2,8
"mosquero tropical","urbana",12.3,"gris","canto",16,"mediodía","frutas",9.3,9
"reinita amarilla","manglar",13,"amarillo","alimentación",7,"tarde","insectos",1,12
"colibrí esmeralda","manglar",11.4,"amarillo","vuelo",2,"mañana","insectos",3.7,8
"tordo renegrido","manglar",10.3,"negro","alimentación",2,"mañana","semillas",4.7,10
"mosquero tropical","bosque seco",8.8,"negro","alimentación",6,"tarde","semillas",1,5
"reinita amarilla","bosque seco",10,"marrón","alimentación",2,"mañana","insectos",5.4,8
"mosquero tropical","manglar",11.6,"marrón","canto",13,"mañana","frutas",13.9,9
"pinzón costero","agrícola",15,"amarillo","reposo",3,"tarde","semillas",6.1,6
"pinzón costero","agrícola",12,"marrón","reposo",2,"tarde","frutas",1,7
"tordo renegrido","agrícola",15.2,"verde","alimentación",7,"mañana","insectos",8.4,8
"colibrí esmeralda","manglar",11.9,"verde","vuelo",9,"tarde","frutas",1.4,1
"reinita amarilla","urbana",15.9,"negro","canto",13,"tarde","frutas",10.1,10
"pinzón costero","manglar",11,"marrón","vuelo",1,"mediodía","semillas",2.5,1
"pinzón costero","urbana",9.3,"amarillo","alimentación",4,"mediodía","semillas",1,11
"tordo renegrido","agrícola",13.6,"verde","reposo",2,"mañana","néctar",4.5,4
"tordo renegrido","agrícola",13.8,"marrón","vuelo",3,"tarde","semillas",3.1,6
"mosquero tropical","urbana",14.3,"marrón","alimentación",9,"mañana","insectos",7.6,10
"reinita amarilla","manglar",14.7,"blanco","vuelo",5,"tarde","néctar",2.7,8
"mosquero tropical","bosque seco",6.7,"blanco","canto",9,"mediodía","semillas",20.7,7
"colibrí esmeralda","bosque seco",14.1,"marrón","alimentación",11,"mediodía","insectos",5.7,8
"tordo renegrido","manglar",8.9,"marrón","alimentación",2,"tarde","insectos",4.4,7
"colibrí esmeralda","urbana",13.3,"negro","vuelo",8,"tarde","néctar",17.1,8
"reinita amarilla","agrícola",13.1,"marrón","reposo",4,"mediodía","insectos",7,7
"tordo renegrido","bosque seco",14.9,"blanco","alimentación",4,"mediodía","insectos",6.3,10
"reinita amarilla","manglar",13.3,"amarillo","reposo",5,"tarde","insectos",3.1,5
"tordo renegrido","bosque seco",10,"negro","reposo",6,"mediodía","néctar",2,2
"mosquero tropical","manglar",16.5,"gris","canto",15,"mediodía","semillas",15.4,7
"colibrí esmeralda","bosque seco",14.1,"amarillo","alimentación",2,"mañana","insectos",1.8,6
"mosquero tropical","manglar",9.6,"marrón","canto",12,"mañana","insectos",11.8,6
"colibrí esmeralda","agrícola",13.7,"blanco","canto",15,"tarde","frutas",11.8,6
"pinzón costero","agrícola",13.6,"gris","canto",8,"mañana","frutas",11.2,12
"colibrí esmeralda","manglar",9.4,"amarillo","reposo",6,"mañana","insectos",3.4,6
"pinzón costero","manglar",12.8,"gris","reposo",2,"mediodía","néctar",1,3
"pinzón costero","agrícola",11.9,"blanco","vuelo",7,"mañana","insectos",7.9,2
"pinzón costero","urbana",10.6,"negro","vuelo",3,"mediodía","semillas",4.2,9
"colibrí esmeralda","urbana",10,"negro","vuelo",5,"mañana","néctar",1,15
"tordo renegrido","agrícola",13.1,"negro","canto",20,"tarde","néctar",12.3,8
"pinzón costero","bosque seco",13.1,"verde","vuelo",8,"tarde","frutas",2.5,7
"colibrí esmeralda","agrícola",8.2,"verde","canto",17,"tarde","néctar",10,3
"pinzón costero","agrícola",9.7,"amarillo","vuelo",6,"mediodía","insectos",3.8,9
"mosquero tropical","urbana",12.8,"marrón","canto",60,"mañana","semillas",36.7,8
"mosquero tropical","urbana",11.7,"marrón","alimentación",4,"mañana","semillas",4.1,11
"mosquero tropical","manglar",11.5,"amarillo","vuelo",6,"tarde","néctar",1.5,2
"tordo renegrido","manglar",14.4,"verde","canto",16,"mañana","semillas",8.4,5
"reinita amarilla","urbana",13.8,"negro","canto",15,"mañana","néctar",7.5,10
"tordo renegrido","agrícola",12.2,"gris","canto",19,"mediodía","frutas",15.2,8
"reinita amarilla","agrícola",5,"marrón","canto",13,"tarde","semillas",8.6,7
"tordo renegrido","manglar",12.5,"amarillo","vuelo",1,"mediodía","frutas",4.7,3
"reinita amarilla","urbana",10.8,"verde","vuelo",6,"tarde","insectos",5.3,7
"reinita amarilla","manglar",8.1,"gris","canto",15,"mediodía","semillas",9.6,5
"tordo renegrido","urbana",12.6,"negro","canto",8,"mañana","semillas",14.8,8
"tordo renegrido","urbana",13.3,"marrón","reposo",9,"mediodía","insectos",1,9
"mosquero tropical","agrícola",11.2,"gris","reposo",7,"mediodía","néctar",1.2,9
"tordo renegrido","manglar",14.1,"gris","reposo",2,"tarde","semillas",3.9,5
"tordo renegrido","agrícola",12.2,"marrón","vuelo",7,"mediodía","insectos",2.5,5
"colibrí esmeralda","bosque seco",11.8,"amarillo","alimentación",4,"tarde","insectos",9.6,11
"reinita amarilla","urbana",12.3,"verde","canto",13,"mediodía","néctar",7.8,10
"pinzón costero","urbana",10.8,"gris","vuelo",3,"mediodía","néctar",2.6,10
"tordo renegrido","bosque seco",9.5,"blanco","vuelo",4,"mediodía","insectos",1.4,5
"pinzón costero","bosque seco",12.3,"gris","canto",17,"mañana","insectos",5.6,7
"mosquero tropical","urbana",10.4,"marrón","alimentación",2,"mañana","frutas",6.6,9
"tordo renegrido","bosque seco",13.7,"marrón","reposo",7,"tarde","néctar",1,6
"colibrí esmeralda","bosque seco",14.9,"negro","vuelo",9,"mañana","semillas",5.1,3
"colibrí esmeralda","agrícola",10,"negro","alimentación",4,"tarde","insectos",1,9
"reinita amarilla","manglar",13.8,"marrón","canto",8,"tarde","insectos",13.1,8
"pinzón costero","urbana",14.7,"gris","alimentación",4,"tarde","insectos",5.6,11
"colibrí esmeralda","urbana",15.1,"gris","alimentación",2,"mañana","frutas",2.2,13
"reinita amarilla","manglar",12.1,"verde","reposo",10,"mediodía","frutas",7.6,4
"pinzón costero","bosque seco",13,"verde","alimentación",12,"mediodía","frutas",9.7,4
"colibrí esmeralda","agrícola",10.3,"negro","canto",19,"mediodía","néctar",8,4
"reinita amarilla","agrícola",15.6,"gris","reposo",2,"mañana","semillas",4.9,6
"colibrí esmeralda","urbana",13.9,"verde","canto",16,"mañana","néctar",6.9,11
"mosquero tropical","manglar",11.9,"marrón","canto",12,"tarde","néctar",14,3
"mosquero tropical","urbana",12.6,"blanco","reposo",8,"mañana","insectos",7.5,16
"tordo renegrido","agrícola",12.2,"verde","reposo",6,"mañana","semillas",7.5,6
"pinzón costero","urbana",12.1,"verde","alimentación",5,"tarde","insectos",5.4,13
"tordo renegrido","bosque seco",12.8,"blanco","vuelo",4,"mediodía","insectos",6.6,7
"reinita amarilla","manglar",12.6,"verde","canto",14,"mediodía","insectos",13,7
"tordo renegrido","agrícola",12.8,"marrón","vuelo",3,"tarde","frutas",5.4,7
"reinita amarilla","manglar",16,"marrón","vuelo",3,"mediodía","néctar",5,4
"mosquero tropical","manglar",14.2,"negro","alimentación",8,"mañana","insectos",3.6,4
"colibrí esmeralda","agrícola",10.5,"marrón","alimentación",7,"mediodía","semillas",4.2,3
"tordo renegrido","bosque seco",11.5,"gris","reposo",8,"mañana","insectos",1,7
"reinita amarilla","manglar",14.6,"marrón","vuelo",8,"mañana","semillas",1,8
"tordo renegrido","manglar",9.5,"marrón","reposo",1,"mediodía","frutas",10,6
"reinita amarilla","agrícola",13,"amarillo","alimentación",5,"tarde","insectos",7.4,5
"pinzón costero","urbana",11.5,"gris","reposo",6,"mañana","semillas",1,14
"reinita amarilla","agrícola",12.5,"marrón","alimentación",5,"tarde","semillas",1,8
"colibrí esmeralda","urbana",13.3,"gris","reposo",4,"mediodía","semillas",1,12
"reinita amarilla","bosque seco",11.6,"gris","alimentación",4,"tarde","néctar",1,8
"pinzón costero","urbana",11,"amarillo","vuelo",6,"tarde","frutas",3.2,10
"reinita amarilla","urbana",11.4,"verde","alimentación",2,"mañana","néctar",1,12
"tordo renegrido","manglar",11.8,"gris","vuelo",5,"tarde","frutas",9.3,1
"mosquero tropical","manglar",12.5,"verde","vuelo",4,"tarde","néctar",1,12
"mosquero tropical","agrícola",9.8,"verde","alimentación",4,"mediodía","semillas",7.9,7
"tordo renegrido","bosque seco",13.3,"gris","reposo",11,"mañana","néctar",4.6,7
"colibrí esmeralda","agrícola",9.3,"blanco","alimentación",3,"tarde","frutas",1,4
"colibrí esmeralda","manglar",10.5,"gris","alimentación",6,"mediodía","néctar",6.2,7
"reinita amarilla","manglar",9.8,"negro","canto",16,"tarde","insectos",11.4,7
"tordo renegrido","agrícola",13.8,"negro","vuelo",3,"mediodía","frutas",3.8,3
"colibrí esmeralda","urbana",12.3,"amarillo","canto",17,"mediodía","frutas",10.8,10
"reinita amarilla","manglar",12.8,"gris","reposo",4,"mediodía","frutas",5.8,6
"tordo renegrido","urbana",10.8,"verde","vuelo",5,"mediodía","frutas",1,7
"reinita amarilla","bosque seco",10.5,"negro","vuelo",9,"mañana","semillas",5.2,3
"colibrí esmeralda","agrícola",6.6,"blanco","alimentación",8,"mañana","frutas",10.4,6
"colibrí esmeralda","agrícola",13.1,"amarillo","alimentación",5,"mañana","néctar",4.6,7
"colibrí esmeralda","bosque seco",10.9,"marrón","alimentación",1,"tarde","semillas",8.8,10
"tordo renegrido","urbana",11.3,"verde","alimentación",3,"mañana","insectos",5.5,13
"reinita amarilla","manglar",12.8,"gris","vuelo",5,"mediodía","semillas",1,5
"colibrí esmeralda","agrícola",11.3,"verde","reposo",5,"mañana","néctar",3,5
"mosquero tropical","manglar",9.6,"verde","alimentación",3,"tarde","néctar",1.7,7
"reinita amarilla","bosque seco",12.3,"blanco","reposo",4,"tarde","insectos",6.3,10
"reinita amarilla","manglar",11.3,"marrón","reposo",7,"mediodía","semillas",1,3
"reinita amarilla","manglar",12.4,"blanco","vuelo",3,"tarde","insectos",6.6,6
"colibrí esmeralda","urbana",13.1,"blanco","canto",13,"tarde","néctar",11,10
"reinita amarilla","agrícola",12.4,"gris","canto",12,"mediodía","néctar",12.7,6
"tordo renegrido","manglar",14.3,"verde","alimentación",9,"mañana","frutas",5.1,7
"reinita amarilla","manglar",11.9,"negro","reposo",8,"tarde","insectos",1,5
"tordo renegrido","agrícola",10.7,"blanco","reposo",5,"mañana","frutas",7.3,7
"tordo renegrido","urbana",15.5,"negro","vuelo",4,"mañana","néctar",2.9,11
"pinzón costero","urbana",10.1,"marrón","alimentación",6,"mañana","insectos",1,14
"pinzón costero","urbana",13.9,"verde","alimentación",1,"mañana","insectos",1,8
"mosquero tropical","urbana",13.4,"amarillo","canto",16,"mediodía","semillas",14,8
"colibrí esmeralda","manglar",10,"verde","vuelo",8,"mañana","insectos",3.3,10
"pinzón costero","agrícola",13.4,"amarillo","reposo",6,"mediodía","insectos",6.4,4
"reinita amarilla","agrícola",11.4,"verde","reposo",16,"mañana","néctar",8.5,6
"reinita amarilla","manglar",13.2,"amarillo","alimentación",4,"mañana","néctar",3,4
"mosquero tropical","bosque seco",10.4,"marrón","canto",11,"tarde","néctar",13.2,3
"colibrí esmeralda","manglar",14,"blanco","reposo",3,"mañana","néctar",5.2,9
"mosquero tropical","bosque seco",13.1,"negro","alimentación",7,"mediodía","semillas",3.4,2
"mosquero tropical","manglar",10.9,"gris","reposo",2,"mediodía","semillas",3.4,4
"tordo renegrido","urbana",14.3,"marrón","reposo",9,"tarde","semillas",1.1,7
"mosquero tropical","bosque seco",12.7,"verde","vuelo",8,"mañana","néctar",6,2
"reinita amarilla","manglar",11.3,"gris","alimentación",2,"mañana","insectos",3.7,5
"mosquero tropical","bosque seco",12.7,"amarillo","reposo",3,"mediodía","frutas",2.9,2
"reinita amarilla","agrícola",9.3,"marrón","vuelo",5,"mediodía","néctar",3.5,7
"mosquero tropical","manglar",9.3,"verde","vuelo",4,"mañana","frutas",6.5,3
"reinita amarilla","agrícola",9.6,"gris","reposo",9,"mediodía","néctar",1,7
"colibrí esmeralda","bosque seco",12.9,"gris","alimentación",2,"mañana","frutas",1,4
"mosquero tropical","urbana",11.1,"blanco","vuelo",5,"mañana","néctar",5.1,7
"tordo renegrido","urbana",10.8,"verde","canto",14,"tarde","néctar",13.5,9
"pinzón costero","agrícola",11.8,"marrón","vuelo",4,"mediodía","néctar",4.5,4
"colibrí esmeralda","agrícola",8,"gris","reposo",8,"mañana","néctar",5.5,5
"reinita amarilla","bosque seco",14.4,"marrón","reposo",8,"mediodía","frutas",4.3,11
"reinita amarilla","urbana",9.7,"verde","reposo",8,"tarde","semillas",7.1,11
"reinita amarilla","agrícola",11.6,"negro","canto",11,"mañana","insectos",12.8,5
"reinita amarilla","urbana",10.1,"verde","canto",17,"mañana","semillas",12.7,8
"pinzón costero","manglar",11.5,"blanco","vuelo",2,"tarde","frutas",5.7,12
"tordo renegrido","manglar",9.4,"negro","canto",14,"mediodía","insectos",11.3,5
"pinzón costero","agrícola",13.2,"marrón","alimentación",8,"mediodía","néctar",3.1,6
"reinita amarilla","agrícola",11.1,"verde","reposo",4,"mañana","insectos",9.3,4
"colibrí esmeralda","agrícola",10.8,"blanco","reposo",2,"tarde","semillas",5.3,3
"mosquero tropical","manglar",9.1,"verde","vuelo",3,"mediodía","frutas",11.4,3
"colibrí esmeralda","urbana",14.7,"gris","reposo",8,"mañana","néctar",6.3,15
"reinita amarilla","urbana",10.7,"marrón","alimentación",4,"mañana","semillas",4.2,12
"pinzón costero","agrícola",12.7,"gris","reposo",5,"mediodía","insectos",1,9
"reinita amarilla","bosque seco",14.4,"negro","alimentación",8,"mediodía","insectos",1,8
"colibrí esmeralda","agrícola",13.1,"blanco","vuelo",6,"mediodía","semillas",4.1,11
"tordo renegrido","urbana",11.3,"negro","canto",20,"mañana","semillas",15.5,9
"mosquero tropical","agrícola",13.3,"marrón","reposo",5,"mañana","frutas",5.9,4
"colibrí esmeralda","bosque seco",14.2,"amarillo","alimentación",4,"tarde","néctar",10.8,4
"colibrí esmeralda","manglar",13.5,"gris","canto",15,"tarde","frutas",10.6,6
"colibrí esmeralda","agrícola",8.3,"gris","reposo",2,"mañana","insectos",2.5,6
"reinita amarilla","agrícola",10.7,"gris","vuelo",9,"tarde","insectos",6,6
"tordo renegrido","agrícola",13.1,"gris","vuelo",7,"tarde","insectos",2.2,5
"tordo renegrido","urbana",9.5,"amarillo","reposo",5,"mañana","néctar",1.2,13
"reinita amarilla","manglar",12.6,"verde","alimentación",5,"mañana","frutas",6,9
"colibrí esmeralda","bosque seco",10.9,"marrón","reposo",5,"mediodía","néctar",6.4,8
"pinzón costero","bosque seco",13,"blanco","canto",18,"tarde","néctar",6.8,6
"mosquero tropical","agrícola",14.7,"verde","alimentación",2,"mediodía","néctar",4,3
"reinita amarilla","agrícola",10.6,"amarillo","alimentación",6,"mediodía","insectos",1,9
"tordo renegrido","agrícola",15,"marrón","vuelo",4,"mediodía","néctar",3.9,8
"reinita amarilla","manglar",11.1,"verde","reposo",5,"mediodía","insectos",6.3,9
"colibrí esmeralda","manglar",11.1,"verde","reposo",6,"tarde","insectos",4.1,9
"pinzón costero","agrícola",14.1,"amarillo","canto",13,"mediodía","insectos",14.8,2
"pinzón costero","urbana",12.2,"blanco","vuelo",8,"mañana","néctar",1,8
"tordo renegrido","agrícola",15.6,"blanco","canto",17,"mañana","semillas",7.5,2
"pinzón costero","manglar",12.1,"gris","canto",15,"tarde","frutas",13.9,11
"tordo renegrido","agrícola",9.7,"blanco","vuelo",6,"tarde","frutas",1,6
"tordo renegrido","urbana",16.5,"negro","vuelo",8,"tarde","frutas",4.4,7
"colibrí esmeralda","manglar",13,"amarillo","alimentación",6,"mediodía","frutas",2.6,5
"colibrí esmeralda","bosque seco",12.9,"amarillo","alimentación",2,"mediodía","frutas",6.2,9
"pinzón costero","bosque seco",13.8,"amarillo","alimentación",1,"mañana","néctar",8.8,4
"reinita amarilla","agrícola",11.4,"verde","vuelo",6,"mañana","insectos",1,5
"mosquero tropical","agrícola",11,"amarillo","vuelo",3,"mediodía","néctar",2.6,8
"pinzón costero","manglar",10.3,"gris","canto",14,"mediodía","néctar",5.5,6
"colibrí esmeralda","bosque seco",12,"marrón","vuelo",5,"tarde","insectos",3.4,3
"tordo renegrido","manglar",12.5,"amarillo","reposo",4,"mediodía","semillas",5.3,6
"colibrí esmeralda","urbana",13,"verde","alimentación",6,"tarde","insectos",5,13
"pinzón costero","urbana",13.3,"verde","reposo",4,"mediodía","insectos",5.9,16
"colibrí esmeralda","manglar",14,"gris","vuelo",6,"mediodía","semillas",4.4,2
"reinita amarilla","manglar",12.9,"marrón","canto",15,"tarde","frutas",13,8
"colibrí esmeralda","manglar",12.6,"amarillo","reposo",8,"tarde","néctar",3.3,5
"pinzón costero","agrícola",13.3,"negro","alimentación",7,"tarde","frutas",1.5,3
"mosquero tropical","bosque seco",13.7,"gris","alimentación",9,"mediodía","semillas",2.4,5
"mosquero tropical","urbana",10.8,"negro","canto",15,"tarde","semillas",9.6,9
"reinita amarilla","manglar",13.5,"gris","reposo",3,"tarde","insectos",1,9
"tordo renegrido","manglar",16.9,"gris","reposo",5,"mañana","insectos",10.5,10
"colibrí esmeralda","agrícola",12,"amarillo","reposo",8,"tarde","semillas",6.9,8
"tordo renegrido","urbana",12.5,"verde","vuelo",5,"mañana","semillas",1,9
"colibrí esmeralda","bosque seco",9.6,"verde","canto",13,"tarde","néctar",21.1,9
"reinita amarilla","manglar",11.4,"negro","alimentación",2,"mañana","semillas",1,9
"mosquero tropical","agrícola",11.7,"blanco","vuelo",5,"mañana","insectos",1.6,7
"reinita amarilla","agrícola",13.5,"negro","alimentación",4,"tarde","néctar",1,5
"reinita amarilla","urbana",10.5,"negro","vuelo",5,"tarde","insectos",11,14
"reinita amarilla","bosque seco",13.5,"marrón","vuelo",6,"mañana","frutas",7.2,7
"colibrí esmeralda","bosque seco",12.2,"verde","canto",11,"mañana","néctar",15.1,5
